Date,Day,Sump,Colony,Treatment,Temperature,Plastic,Light,Food,Tank,Tile,Sym.State,B.Tag,FvFm.AVG
10/19/2021,22,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y63,NA
10/19/2021,22,Orange,A13,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y64,0.095
10/19/2021,22,Orange,A13,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y65,0.069
10/20/2021,22,Yellow,A1,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G33,0.064
10/20/2021,22,Yellow,A1,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G34,NA
10/20/2021,22,Yellow,A2,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G35,0.161
10/20/2021,22,Yellow,A2,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G37,0.149
10/20/2021,22,Yellow,A3,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G38,0.162
10/20/2021,22,Yellow,S21,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G74,NA
10/20/2021,22,Yellow,S24,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G75,0.140
10/20/2021,22,Yellow,S26,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G76,0.319
10/20/2021,22,Yellow,S28,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G77,0.149
10/20/2021,22,Yellow,S29,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G78,0.144
10/20/2021,22,Yellow,S4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B32,NA
10/20/2021,22,Yellow,S4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B33,0.334
10/20/2021,22,Yellow,S5,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B34,0.120
10/20/2021,22,Yellow,S6,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B35,0.113
10/20/2021,22,Yellow,A4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B36,0.147
10/20/2021,22,Yellow,A4,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B76,0.123
10/20/2021,22,Yellow,A5,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B77,0.172
10/20/2021,22,Yellow,A5,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B78,NA
10/20/2021,22,Yellow,A6,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B79,0.116
10/20/2021,22,Yellow,S30,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B80,0.135
10/20/2021,22,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W28,0.169
10/20/2021,22,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W29,0.170
10/20/2021,22,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W30,0.064
10/20/2021,22,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W31,0.068
10/20/2021,22,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W32,0.068
10/20/2021,22,Yellow,A9,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W72,0.126
10/20/2021,22,Yellow,A10,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W73,0.082
10/20/2021,22,Yellow,A10,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W74,0.165
10/20/2021,22,Yellow,A11,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W75,0.256
10/20/2021,22,Yellow,A11,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W76,0.187
10/20/2021,22,Yellow,S9,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y25,0.144
10/20/2021,22,Yellow,S10,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y26,0.209
10/20/2021,22,Yellow,S11,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y27,0.152
10/20/2021,22,Yellow,S11,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y28,0.152
10/20/2021,22,Yellow,S12,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y29,0.208
