"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"274","S30",11,"W15","Sym","PDS","Elevated (30C)","A3",33,22,"N",0.125,0.106,0.105,0.106,0.289,0.142,0.093,0.081,0.43973,0.38055,0.47436,"SW",-0.00428,-0.00311,-0.00215
"275","S7",9,"W17","Sym","PDS","Elevated (30C)","A3",33,11,"N",0.071,0.062,NA,NA,0.331,0.236,NA,NA,0.27885,0.42359,NA,"EC",-0.01317,NA,NA
"276","A5",2,"W2","Apo","PLF","Elevated (30C)","F2",30,22,"N",0.229,0.206,0.215,0.209,0.188,0.211,0.214,0.312,0.59503,0.50164,0.53773,"SW",-0.00773,-0.00322,-0.00572
"277","S7",17,"W20","Sym","PDS","Elevated (30C)","A3",33,22,"N",0.167,0.155,0.162,0.156,0.249,0.119,0.308,0.084,0.36381,0.3969,0.42751,"SW",-0.03805,-0.00315,-0.00214
"278","S7",25,"W21","Sym","PDS","Elevated (30C)","A3",33,22,"N",0.164,0.158,0.156,0.174,0.322,0.227,0.33,0.042,0.42007,0.48522,0.59119,"EC",-0.00817,-0.00761,-0.06275
"279","S7",33,"W22","Sym","PDS","Elevated (30C)","A3",33,22,"N",0.375,0.335,0.264,0.264,0.2,0.171,0.268,0.073,0.45399,0.42249,0.49238,"SW",-0.04784,-0.00439,-0.00425
"280","S7",2,"W23","Sym","PLS","Elevated (30C)","B3",34,22,"N",0.126,0.123,0.12,0.12,0.284,0.055,0.223,0.078,0.49321,0.48303,0.47874,"EC",-0.01032,-0.12689,-0.00621
"281","S7",10,"W24","Sym","PLS","Elevated (30C)","B3",34,22,"N",0.26,0.243,0.255,0.242,0.26,0.187,0.194,0.046,0.36041,0.50636,0.48419,"SW",-0.01962,-0.00587,-0.00453
"282","S7",18,"W25","Sym","PLS","Elevated (30C)","B3",34,22,"N",0.193,0.194,0.194,0.173,0.265,0.171,0.171,0.049,0.38381,0.43829,0.49894,"EC",-0.03558,-0.01006,-0.12153
"283","S7",26,"W26","Sym","PLS","Elevated (30C)","B3",34,22,"Y",0.232,0.23,0.215,NA,0.283,0.123,0.246,0.07,0.42761,0.44119,0.55546,"SW",-0.01614,-0.00386,NA
"284","S7",34,"W27","Sym","PLS","Elevated (30C)","B3",34,22,"N",0.235,0.232,0.239,0.229,0.325,0.124,0.078,0.204,0.34238,0.44788,0.47616,"EC",-0.01563,-0.024,-0.02779
"285","S7",3,"W28","Sym","NDS","Elevated (30C)","C3",35,22,"N",0.204,0.191,0.182,0.179,0.354,0.245,0.136,0.169,0.34853,0.4314,0.45824,"SW",-0.01185,-0.00367,-0.0015
"286","S7",11,"W29","Sym","NDS","Elevated (30C)","C3",35,22,"N",0.287,0.269,0.263,0.25,0.327,0.09,0.193,0.17,0.41866,0.4557,0.52097,"EC",-0.03501,-0.00529,-0.06688
"287","A4",7,"W3","Apo","Control","Ambient (19C)","Tray",31,22,"N",0.175,NA,NA,0.151,NA,NA,NA,0.164,0.46962,NA,0.45556,"EC",NA,NA,-0.00789
"288","S7",19,"W30","Sym","NDS","Elevated (30C)","C3",35,22,"N",0.137,0.141,0.139,0.135,0.221,0.03,0.204,0.064,0.43356,0.50186,0.62983,"SW",-0.00488,-0.00293,-0.00252
"289","S7",27,"W31","Sym","NDS","Elevated (30C)","C3",35,22,"N",0.201,0.191,0.182,0.177,0.367,0.198,0.213,0.068,0.32032,0.46253,0.51254,"EC",-0.05862,-0.03062,-0.0371
"290","S7",35,"W32","Sym","NDS","Elevated (30C)","C3",35,22,"N",0.224,0.211,0.2,0.192,0.183,0.298,0.204,0.068,0.46069,0.47499,0.44996,"SW",-0.00196,-0.00247,-0.00143
"291","S7",4,"W33","Sym","NLS","Elevated (30C)","D3",36,22,"N",0.163,0.138,0.139,0.137,0.32,0.166,0.169,0.195,0.2924,0.45683,0.49535,"SW",-0.00893,-0.00962,-0.00444
"292","S7",12,"W34","Sym","NLS","Elevated (30C)","D3",36,22,"N",0.109,0.115,0.114,0.115,0.185,0.145,0.157,0.199,0.35622,0.57499,0.51759,"EC",-0.02173,-0.01425,-0.08324
"293","S30",6,"W35","Sym","NLS","Elevated (30C)","D3",36,22,"N",0.127,0.126,0.128,0.127,0.137,0.224,0.183,0.323,0.36182,0.41759,0.39441,"SW",-0.0123,-0.00493,-0.00526
"294","S7",28,"W36","Sym","NLS","Elevated (30C)","D3",36,22,"N",0.126,0.123,0.124,0.121,0.154,0.097,0.085,0.213,0.37337,0.46801,0.48008,"EC",-0.0218,-0.12791,-0.01076
"295","S7",36,"W37","Sym","NLS","Elevated (30C)","D3",36,22,"N",0.293,0.282,0.187,0.194,0.242,0.181,0.212,0.202,0.42481,0.42183,0.50384,"SW",-0.01432,-0.00333,-0.00521
"296","S7",5,"W38","Sym","PDF","Elevated (30C)","E3",37,22,"N",0.255,0.249,0.195,0.185,0.273,0.08,0.072,0.28,0.37946,0.42674,0.46037,"SW",-0.11621,-0.00572,-0.00299
"297","S7",13,"W39","Sym","PDF","Elevated (30C)","E3",37,22,"N",0.127,0.127,0.248,0.123,0.164,0.193,0.057,0.402,0.38717,0.34312,0.46901,"EC",-0.02461,-0.02246,-0.02136
"298","A5",3,"W4","Apo","Control","Ambient (19C)","Tray",31,22,"N",0.286,NA,NA,0.272,NA,NA,NA,0.269,0.63513,NA,0.41281,NA,NA,NA,NA
"299","S7",21,"W40","Sym","PDF","Elevated (30C)","E3",37,22,"N",0.23,0.232,0.226,0.217,0.263,0.284,0.136,0.463,0.41361,0.4759,0.56014,"SW",-0.00248,-0.00231,-0.00185
"300","S7",29,"W41","Sym","PDF","Elevated (30C)","E3",37,22,"N",0.119,0.114,0.11,0.104,0.227,0.207,0.075,0.303,0.32614,0.45572,0.53617,"EC",-0.06287,-0.01313,-0.00842
"301","S7",37,"W42","Sym","PDF","Elevated (30C)","E3",37,22,"N",0.3,0.299,0.285,0.281,0.326,0.141,0.129,0.255,0.23719,0.38209,0.44156,"SW",-0.02034,-0.00324,-0.00231
"302","S7",6,"W43","Sym","PLF","Elevated (30C)","F3",38,22,"N",0.145,0.124,0.123,0.124,0.176,0.074,0.201,0.221,0.34732,0.42342,0.4371,"SW",-0.00609,-0.00419,-0.00853
"303","S7",14,"W44","Sym","PLF","Elevated (30C)","F3",38,22,"N",0.164,0.145,0.141,0.148,0.054,0.138,0.105,0.19,0.4502,0.56582,0.48509,"EC",-0.00857,-0.01084,-0.02366
"304","S7",22,"W45","Sym","PLF","Elevated (30C)","F3",38,22,"N",0.113,0.086,0.087,0.088,0.037,0.16,0.111,0.08,0.40224,0.49692,0.39612,"SW",-0.0054,-0.00447,-0.00841
"305","S7",30,"W46","Sym","PLF","Elevated (30C)","F3",38,22,"N",0.185,0.169,0.167,0.166,0.122,0.278,0.168,0.26,0.33407,0.36543,0.41829,"EC",-0.03019,-0.02855,-0.00892
"306","S8",1,"W47","Sym","PLF","Elevated (30C)","F3",38,20,"N",0.195,0.177,0.179,NA,0.078,0.217,0.485,NA,0.37262,0.49362,NA,"SW",-0.01895,-0.00386,NA
"307","S7",7,"W48","Sym","NDF","Elevated (30C)","G3",39,22,"N",0.103,0.088,0.082,0.073,0.265,0.312,0.063,0.134,0.44645,0.4877,0.46592,"SW",-0.00764,-0.00418,-0.00277
"308","S7",15,"W49","Sym","NDF","Elevated (30C)","G3",39,19,"N",0.114,0.109,0.099,NA,0.407,0.208,0.091,NA,0.45711,0.48285,NA,"EC",NA,-0.03692,NA
"309","A5",11,"W5","Apo","Control","Ambient (19C)","Tray",31,22,"N",0.209,NA,NA,0.194,NA,NA,NA,0.099,0.55248,NA,0.43243,NA,NA,NA,NA
"310","S7",23,"W50","Sym","NDF","Elevated (30C)","G3",39,15,"Y",0.242,0.213,NA,NA,0.345,0.142,0.039,NA,0.36491,0.40989,NA,"SW",-0.00348,NA,NA
"311","S7",31,"W51","Sym","NDF","Elevated (30C)","G3",39,22,"N",0.301,0.288,0.287,0.282,0.071,0.156,0.06,0.218,0.37594,0.44157,0.42704,"EC",NA,-0.00453,-0.01447
"312","S8",2,"W52","Sym","NDF","Elevated (30C)","G3",39,22,"N",0.211,0.203,0.152,0.147,0.405,0.376,0.121,0.218,0.373,0.32621,0.55343,"SW",-0.0026,-0.00092,-0.00114
"313","S7",8,"W53","Sym","NLF","Elevated (30C)","H3",40,22,"N",0.208,0.197,0.198,0.199,0.181,0.218,0.084,0.286,0.42434,0.39433,0.4298,"SW",-0.00459,-0.00523,-0.00989
"314","S7",16,"W54","Sym","NLF","Elevated (30C)","H3",40,22,"N",0.148,0.144,0.16,0.151,0.287,0.251,0.13,0.355,0.35798,0.42583,0.44222,"EC",-0.06108,-0.01108,-0.02954
"315","S7",24,"W55","Sym","NLF","Elevated (30C)","H3",40,22,"N",0.285,0.272,0.282,0.29,0.277,0.179,0.171,0.394,0.35046,0.39889,0.31081,"SW",-0.00601,-0.00603,-0.00564
"316","S7",32,"W56","Sym","NLF","Elevated (30C)","H3",40,22,"N",0.301,0.278,0.251,0.249,0.317,0.146,0.162,0.428,0.42814,0.40437,0.38881,"EC",-0.0337,-0.02001,-0.01193
"317","S8",3,"W57","Sym","NLF","Elevated (30C)","H3",40,22,"N",0.251,0.247,0.253,0.253,0.314,0.188,0.101,0.252,0.43708,0.44073,0.38109,"SW",-0.03209,-0.0027,-0.00503
"318","A9",1,"W58","Apo","PDS","Elevated (30C)","A3",41,22,"N",0.156,0.146,0.146,0.15,0.172,0.059,0.088,0.067,0.52717,0.53684,0.62048,"SW",-0.00894,-0.00285,-0.00207
"319","A9",9,"W59","Apo","PDS","Elevated (30C)","A3",41,22,"N",0.228,0.211,0.206,0.203,0.231,0.332,0.298,0.099,0.51858,0.37923,0.49928,"EC",-0.04328,-0.00317,-0.04439
"320","A10",7,"W60","Apo","PDS","Elevated (30C)","A3",41,22,"N",0.351,0.336,0.333,0.329,0.072,0.339,0.103,0.056,0.40076,0.54345,0.53383,"SW",-0.01779,-0.00378,-0.00127
"321","A11",5,"W62","Apo","PDS","Elevated (30C)","A3",41,22,"N",0.335,0.297,0.292,0.285,0.129,0.27,0.162,0.072,0.53548,0.58225,0.5505,"EC",-0.02611,-0.00212,-0.03162
"322","A11",13,"W63","Apo","PDS","Elevated (30C)","A3",41,21,"N",0.212,0.139,0.131,NA,0.071,0.212,0.149,NA,0.58781,0.67473,0.55238,"SW",-0.00633,-0.01014,NA
"323","A9",2,"W64","Apo","PLS","Elevated (30C)","B3",42,22,"N",0.184,0.18,0.162,0.161,0.13,0.213,0.322,0.11,0.49461,0.57596,0.54553,"SW",-0.04697,-0.00155,-0.01072
"324","A9",10,"W65","Apo","PLS","Elevated (30C)","B3",42,22,"N",0.222,0.209,0.203,0.204,0.09,0.082,0.131,0.092,0.45792,0.4988,0.50364,"EC",-0.03169,-0.0144,-0.03197
"325","A10",8,"W67","Apo","PLS","Elevated (30C)","B3",42,22,"N",0.159,0.16,0.155,0.158,0.133,0.125,0.312,0.087,0.54134,0.53301,0.5551,"SW",-0.05284,-0.00162,-0.00377
"326","A5",19,"W7","Apo","Control","Ambient (19C)","Tray",31,22,"N",0.195,NA,NA,0.177,NA,NA,NA,0.183,0.33033,NA,0.43782,"SW",NA,NA,-0.00376
"327","A11",6,"W70","Apo","PLS","Elevated (30C)","B3",42,12,"N",0.215,0.192,NA,NA,0.141,0.295,NA,NA,0.59084,0.56365,NA,"EC",-0.0345,NA,NA
"328","A11",14,"W71","Apo","PLS","Elevated (30C)","B3",42,22,"N",0.167,0.163,0.154,0.154,0.245,0.118,0.193,0.07,0.55035,0.68836,0.61362,"SW",-0.00859,-0.00508,-0.00472
"329","A9",3,"W72","Apo","NDS","Elevated (30C)","C3",43,22,"N",0.165,0.168,0.151,0.261,0.195,0.201,0.184,0.126,0.58524,0.5934,0.33073,"SW",-0.00366,-0.00422,-0.00159
"330","A10",1,"W73","Apo","NDS","Elevated (30C)","C3",43,22,"N",0.14,0.136,0.132,0.129,0.132,0.248,0.076,0.082,0.50984,0.50045,0.52391,"EC",-0.03198,-0.00437,-0.00353
"331","A10",9,"W74","Apo","NDS","Elevated (30C)","C3",43,22,"N",0.267,0.275,0.266,0.151,0.144,0.166,0.139,0.165,0.47343,0.44582,0.61795,"SW",-0.00224,-0.00161,-0.001
"332","A11",7,"W75","Apo","NDS","Elevated (30C)","C3",43,22,"N",0.128,0.105,0.1,0.097,0.152,0.29,0.273,0.256,0.47951,0.61087,0.4855,"EC",-0.04143,-0.00537,-0.00416
"333","A11",15,"W76","Apo","NDS","Elevated (30C)","C3",43,22,"N",0.124,0.119,0.11,0.197,0.119,0.307,0.113,0.187,0.69141,0.61,0.54801,"SW",-0.00497,-0.0039,-0.00142
"334","A9",4,"W77","Apo","NLS","Elevated (30C)","D3",44,22,"N",0.077,0.086,0.073,0.073,0.194,0.493,0.416,0.323,0.53219,0.5502,0.45799,"SW",-0.03582,-0.00578,-0.00346
"335","A10",2,"W78","Apo","NLS","Elevated (30C)","D3",44,22,"N",0.227,0.228,0.238,0.225,0.086,0.307,0.231,0.221,0.52964,0.58117,0.50523,"EC",-0.0524,-0.03982,-0.02454
"336","A10",10,"W79","Apo","NLS","Elevated (30C)","D3",44,8,"Y",0.223,NA,NA,NA,0.122,0.266,NA,NA,0.46182,0.50374,NA,NA,NA,NA,NA
"337","A7",3,"W8","Apo","Control","Ambient (19C)","Tray",31,22,"N",0.257,NA,NA,0.27,NA,NA,NA,0.226,0.41179,NA,0.49286,"EC",NA,NA,-0.0063
"338","A11",8,"W80","Apo","NLS","Elevated (30C)","D3",44,22,"N",0.185,0.136,0.139,0.126,0.123,0.268,0.533,0.323,0.41094,0.46494,0.31723,"EC",-0.08784,-0.06819,-0.04383
"339","A11",16,"W82","Apo","NLS","Elevated (30C)","D3",44,22,"N",0.132,0.12,0.114,0.14,0.141,0.267,0.533,0.167,0.63701,0.61499,0.55327,"SW",-0.0092,-0.00396,-0.00487
"340","A9",5,"W83","Apo","PDF","Elevated (30C)","E3",45,22,"N",0.141,0.138,0.131,0.124,0.173,0.14,0.333,0.294,0.56268,0.74626,0.46537,"SW",-0.00344,-0.00341,-0.00252
"341","A10",3,"W84","Apo","PDF","Elevated (30C)","E3",45,22,"N",0.306,0.316,0.308,0.295,0.095,0.147,0.09,0.362,0.58248,0.59097,0.52209,"EC",-0.0439,-0.02207,-0.00852
"342","A11",1,"W85","Apo","PDF","Elevated (30C)","E3",45,22,"N",0.092,0.167,0.161,0.151,0.143,0.123,0.228,0.202,0.4701,0.5452,0.56859,"SW",-0.00484,-0.00514,-0.00489
"343","A11",9,"W87","Apo","PDF","Elevated (30C)","E3",45,22,"N",0.203,0.085,0.078,0.066,0.135,0.221,0.168,0.386,0.59483,0.44388,0.52771,"EC",-0.17225,-0.09201,-0.04021
"344","A11",17,"W90","Apo","PDF","Elevated (30C)","E3",45,7,"N",0.02,NA,NA,NA,0.141,NA,NA,NA,0.45623,0.45085,NA,NA,NA,NA,NA
"345","A9",6,"W92","Apo","PLF","Elevated (30C)","F3",46,22,"N",0.123,0.113,0.109,0.108,0.242,0.201,0.257,0.254,0.50154,0.43448,0.31122,"EC",-0.03326,-0.01329,-0.00817
"346","A10",4,"W93","Apo","PLF","Elevated (30C)","F3",46,22,"N",0.294,0.262,0.262,0.264,0.223,0.162,0.244,0.127,0.45283,0.5149,0.51844,"SW",-0.00564,-0.00414,-0.00357
"347","A11",2,"W94","Apo","PLF","Elevated (30C)","F3",46,22,"N",0.08,0.065,0.061,0.059,0.192,0.41,0.383,0.116,0.48336,0.58403,0.37855,"EC",-0.21709,-0.01365,-0.01363
"348","A11",10,"W95","Apo","PLF","Elevated (30C)","F3",46,22,"N",0.145,0.124,0.118,0.115,0.236,0.202,0.362,0.084,0.48315,0.48968,0.35814,"SW",-0.00965,-0.00651,-0.00817
"349","A11",18,"W97","Apo","PLF","Elevated (30C)","F3",46,6,"N",0.208,NA,NA,NA,0.293,NA,NA,NA,0.5802,0.54054,NA,NA,NA,NA,NA
"350","A9",7,"W98","Apo","NDF","Elevated (30C)","G3",47,15,"Y",0.277,0.268,NA,NA,0.197,0.22,0.057,NA,0.46025,0.40528,NA,"SW",-0.00286,NA,NA
"351","A10",5,"Y1","Apo","NDF","Elevated (30C)","G3",47,22,"N",0.208,0.194,0.194,0.188,0.348,0.29,0.083,0.155,0.55066,0.53545,0.55928,"EC",NA,-0.05843,-0.00363
"352","A11",12,"Y10","Apo","NLF","Elevated (30C)","H3",48,11,"N",0.109,0.09,NA,NA,0.106,0.337,NA,NA,0.62159,0.6558,NA,"SW",-0.14541,NA,NA
"353","A11",20,"Y11","Apo","NLF","Elevated (30C)","H3",48,22,"N",0.234,0.183,0.203,0.214,0.137,0.117,0.216,0.53,0.52021,0.53823,0.35622,"EC",-0.01485,-0.00953,-0.01155
"354","A16",20,"Y113","Apo","Control","Ambient (19C)","Tray",76,22,"N",0.19,NA,NA,0.169,NA,NA,NA,0.137,0.59327,NA,0.58789,"SW",NA,NA,-0.00467
"355","S9",1,"Y12","Sym","PDS","Elevated (30C)","A4",49,8,"N",0.203,0.186,NA,NA,0.203,0.084,NA,NA,0.2873,0.40685,NA,"EC",-0.00918,NA,NA
"356","A16",21,"Y128","Apo","Control","Ambient (19C)","Tray",77,22,"N",0.353,NA,NA,0.358,NA,NA,NA,0.145,0.41646,NA,0.44954,NA,NA,NA,NA
"357","S10",1,"Y13","Sym","PDS","Elevated (30C)","A4",49,13,"N",0.167,0.148,NA,NA,0.253,0.17,NA,NA,0.38928,0.45075,NA,"SW",-0.01656,NA,NA
"358","A14",6,"Y137","Apo","Control","Ambient (19C)","Tray",77,22,"N",0.325,NA,NA,0.303,NA,NA,NA,0.108,0.26683,NA,0.41338,NA,NA,NA,NA
"359","S11",2,"Y14","Sym","PDS","Elevated (30C)","A4",49,15,"Y",0.144,0.131,NA,NA,0.26,0.192,0.211,NA,0.38543,0.45177,NA,"EC",-0.08518,NA,NA
"360","S11",10,"Y15","Sym","PDS","Elevated (30C)","A4",49,22,"N",0.156,0.127,0.13,0.129,0.151,0.412,0.186,0.076,0.33076,0.42329,0.50343,"SW",-0.0168,-0.00302,-0.00103
"361","A16",5,"Y156","Apo","Control","Ambient (19C)","Tray",77,22,"N",0.185,NA,NA,0.184,NA,NA,NA,0.205,0.55186,NA,0.50772,"EC",NA,NA,-0.00973
"362","A16",13,"Y164","Apo","Control","Ambient (19C)","Tray",77,22,"N",0.41,NA,NA,0.395,NA,NA,NA,0.211,0.33012,NA,0.38064,"SW",NA,NA,-0.00481
"363","S12",6,"Y17","Sym","PDS","Elevated (30C)","A4",49,22,"N",0.222,0.209,0.196,0.196,0.177,0.196,0.128,0.106,0.37475,0.45688,0.56276,"EC",-0.00612,-0.00377,-0.00443
"364","A15",8,"Y1819","Apo","Control","Ambient (19C)","Tray",78,22,"N",0.251,NA,NA,0.218,NA,NA,NA,0.147,0.43919,NA,0.51121,"SW",NA,NA,-0.00585
"365","A11",3,"Y2","Apo","NDF","Elevated (30C)","G3",47,19,"N",0.156,0.144,0.126,NA,0.247,0.107,0.088,NA,0.60641,0.59037,NA,"SW",-0.0051,-0.00525,NA
"366","S9",2,"Y20","Sym","PLS","Elevated (30C)","B4",50,8,"N",0.091,NA,NA,NA,0.404,NA,NA,NA,0.26693,0.35095,NA,NA,NA,NA,NA
"367","S10",2,"Y21","Sym","PLS","Elevated (30C)","B4",50,17,"N",0.12,0.117,0.108,NA,0.16,0.156,0.252,NA,0.34129,0.38125,NA,"EC",-0.01572,-0.02726,NA
"368","A16",12,"Y210","Apo","Control","Ambient (19C)","Tray",76,22,"N",0.547,NA,NA,0.52,NA,NA,NA,0.305,0.36606,NA,0.31343,NA,NA,NA,NA
"369","A16",14,"Y2129","Apo","Control","Ambient (19C)","Tray",78,22,"N",0.276,NA,NA,0.26,NA,NA,NA,0.217,0.39993,NA,0.4917,NA,NA,NA,NA
"370","S11",3,"Y22","Sym","PLS","Elevated (30C)","B4",50,22,"N",0.158,0.156,0.156,0.149,0.313,0.131,0.249,0.073,0.25878,0.35849,0.34521,"SW",-0.00802,-0.00472,-0.0043
"371","A15",1,"Y2223","Apo","Control","Ambient (19C)","Tray",79,22,"N",0.186,NA,NA,0.204,NA,NA,NA,0.072,0.46506,NA,0.56417,"EC",NA,NA,-0.01325
"372","S11",11,"Y23","Sym","PLS","Elevated (30C)","B4",50,22,"N",0.165,0.151,0.156,0.151,0.147,0.116,0.151,0.067,0.33043,0.59402,0.65689,"EC",-0.05388,-0.03739,-0.01201
"373","S12",7,"Y24","Sym","PLS","Elevated (30C)","B4",50,22,"N",0.1,0.099,0.097,0.096,0.188,0.184,0.068,0.053,0.48108,0.47665,0.63861,"SW",-0.00786,-0.00416,-0.00623
"374","A17",2,"Y2437","Apo","Control","Ambient (19C)","Tray",79,22,"N",0.226,NA,NA,0.203,NA,NA,NA,0.097,0.38861,NA,0.47864,NA,NA,NA,NA
"375","S9",3,"Y25","Sym","NDS","Elevated (30C)","C4",51,22,"N",0.45,0.437,0.372,0.372,0.227,0.176,0.129,0.144,0.33749,0.39502,0.38531,"EC",-0.04761,-0.01604,-0.03839
"376","S10",3,"Y26","Sym","NDS","Elevated (30C)","C4",51,22,"N",0.165,0.172,0.159,0.151,0.271,0.057,0.101,0.209,0.32248,0.35777,0.48771,"SW",-0.00777,-0.00472,-0.00231
"377","S11",4,"Y27","Sym","NDS","Elevated (30C)","C4",51,22,"N",0.153,0.14,0.133,0.134,0.196,0.077,0.152,0.152,0.31808,0.43933,0.46856,"EC",-0.00476,-0.01374,-0.00684
"378","S11",12,"Y28","Sym","NDS","Elevated (30C)","C4",51,22,"N",0.171,0.172,0.16,0.154,0.26,0.028,0.088,0.152,0.2732,0.44745,0.46808,"SW",-0.00774,-0.0037,-0.00359
"379","A16",6,"Y2820","Apo","Control","Ambient (19C)","Tray",78,22,"N",0.106,NA,NA,0.1,NA,NA,NA,0.331,0.57127,NA,0.58098,"EC",NA,NA,-0.175
"380","S12",8,"Y29","Sym","NDS","Elevated (30C)","C4",51,22,"N",0.144,0.138,0.131,0.13,0.265,0.069,0.089,0.208,0.49652,0.51099,0.6434,"EC",-0.01961,-0.00487,-0.00292
"381","A11",11,"Y3","Apo","NDF","Elevated (30C)","G3",47,19,"N",0.193,0.162,0.158,NA,0.327,0.209,0.129,NA,0.64975,0.6316,NA,"EC",NA,-0.00781,NA
"382","S9",4,"Y30","Sym","NLS","Elevated (30C)","D4",52,20,"N",0.426,0.42,0.386,NA,0.213,0.274,0.425,NA,0.30505,0.30957,NA,"EC",-0.07527,-0.03129,NA
"383","S10",4,"Y31","Sym","NLS","Elevated (30C)","D4",52,22,"N",0.225,0.242,0.226,0.229,0.268,0.19,0.357,0.339,0.35247,0.30931,0.32586,"SW",-0.03468,-0.01307,-0.00385
"384","A17",1,"Y3130","Apo","Control","Ambient (19C)","Tray",78,22,"N",0.268,NA,NA,0.228,NA,NA,NA,0.101,0.54569,NA,0.50572,NA,NA,NA,NA
"385","S11",5,"Y32","Sym","NLS","Elevated (30C)","D4",52,22,"N",0.193,0.2,0.196,0.194,0.227,0.248,0.189,0.136,0.28086,0.32645,0.47304,"EC",-0.02875,-0.05322,-0.00843
"386","A16",15,"Y3225","Apo","Control","Ambient (19C)","Tray",79,22,"N",0.11,NA,NA,0.099,NA,NA,NA,0.284,0.41339,NA,0.58973,"SW",NA,NA,-0.02294
"387","S12",1,"Y33","Sym","NLS","Elevated (30C)","D4",52,22,"N",0.206,0.206,0.199,0.198,0.147,0.161,0.032,0.252,0.45352,0.4586,0.54081,"SW",-0.01131,-0.00327,-0.00518
"388","S12",9,"Y34","Sym","NLS","Elevated (30C)","D4",52,22,"N",0.292,0.277,0.287,0.27,0.161,0.216,0.146,0.16,0.27598,0.37651,0.5084,"EC",-0.03404,-0.027,-0.02475
"389","A16",7,"Y3433","Apo","Control","Ambient (19C)","Tray",79,22,"N",0.392,NA,NA,0.395,NA,NA,NA,0.129,0.37077,NA,0.50674,NA,NA,NA,NA
"390","S9",5,"Y35","Sym","PDF","Elevated (30C)","E4",53,22,"N",0.137,0.132,0.119,0.118,0.251,0.149,0.094,0.396,0.34303,0.43309,0.48178,"EC",-0.05047,-0.01098,-0.00651
"391","S10",5,"Y36","Sym","PDF","Elevated (30C)","E4",53,22,"N",0.163,0.161,0.143,0.128,0.197,0.094,0.132,0.23,0.39086,0.47448,0.52879,"SW",-0.00644,-0.00406,-0.00393
"392","A15",9,"Y3635","Apo","Control","Ambient (19C)","Tray",79,22,"N",0.134,NA,NA,0.116,NA,NA,NA,0.346,0.51473,NA,0.47636,NA,NA,NA,NA
"393","S11",6,"Y37","Sym","PDF","Elevated (30C)","E4",53,22,"N",0.184,0.188,0.177,0.166,0.146,0.161,0.223,0.458,0.3919,0.62956,0.69532,"EC",-0.02578,-0.01194,-0.01446
"394","S12",2,"Y38","Sym","PDF","Elevated (30C)","E4",53,22,"N",0.157,0.132,0.128,0.119,0.234,0.136,0.25,0.416,0.46178,0.42758,0.54108,"SW",-0.01187,-0.00419,-0.00429
"395","S13",1,"Y39","Sym","PDF","Elevated (30C)","E4",53,22,"N",0.252,0.249,0.248,0.24,0.132,0.081,0.225,0.246,0.40724,0.51826,0.39428,"EC",-0.02164,-0.00758,-0.00405
"396","A11",19,"Y4","Apo","NDF","Elevated (30C)","G3",47,11,"N",0.363,0.296,NA,NA,0.257,0.203,NA,NA,0.57833,0.60155,NA,"SW",-0.00492,NA,NA
"397","S9",6,"Y40","Sym","PLF","Elevated (30C)","F4",54,12,"N",0.104,0.093,NA,NA,0.228,0.213,NA,NA,0.36765,0.51323,NA,"EC",-0.00813,NA,NA
"398","S10",6,"Y41","Sym","PLF","Elevated (30C)","F4",54,22,"N",0.359,0.331,0.339,0.337,0.108,0.1,0.166,0.136,0.25257,0.44195,0.39348,"SW",-0.06913,-0.01081,-0.07104
"399","S19",12,"Y4156","Sym","Control","Ambient (19C)","Tray",81,22,"N",0.157,NA,NA,0.15,NA,NA,NA,0.409,0.44277,NA,0.42791,"EC",NA,NA,-0.01481
"400","S11",7,"Y42","Sym","PLF","Elevated (30C)","F4",54,22,"N",0.159,0.147,0.144,0.144,0.092,0.127,0.189,0.178,0.25439,0.35719,0.40409,"EC",-0.11265,-0.08891,-0.02585
"401","S12",3,"Y43","Sym","PLF","Elevated (30C)","F4",54,22,"N",0.245,0.226,0.225,0.223,0.091,0.118,0.126,0.184,0.30937,0.38649,0.45679,"SW",-0.01752,-0.01159,-0.00443
"402","A16",8,"Y4350","Apo","Control","Ambient (19C)","Tray",80,22,"N",0.247,NA,NA,0.249,NA,NA,NA,0.186,0.47919,NA,0.44546,"EC",NA,NA,-0.01817
"403","S13",2,"Y44","Sym","PLF","Elevated (30C)","F4",54,22,"N",0.127,0.118,0.113,0.119,0.196,0.126,0.106,0.124,0.38532,0.46547,0.49794,"EC",-0.0129,-0.01311,-0.01919
"404","A16",16,"Y4451","Apo","Control","Ambient (19C)","Tray",80,22,"N",0.174,NA,NA,0.16,NA,NA,NA,0.258,0.37931,NA,0.3751,"SW",NA,NA,-0.0428
"405","S9",7,"Y45","Sym","NDF","Elevated (30C)","G4",55,11,"N",0.277,0.259,NA,NA,0.324,0.078,NA,NA,0.41554,0.41884,NA,NA,NA,NA,NA
"406","A17",3,"Y4542","Apo","Control","Ambient (19C)","Tray",80,22,"N",0.405,NA,NA,0.363,NA,NA,NA,0.119,0.44123,NA,0.45543,NA,NA,NA,NA
